YEAR;MONTH;UNEMPLOYED;GENDER;AGEGROUP
2011;9;1942208;F;EQMORE25
2011;10;1991379;F;EQMORE25
2011;11;2015668;F;EQMORE25
2011;12;2000988;F;EQMORE25
2012;1;2091398;F;EQMORE25
2012;2;2127461;F;EQMORE25
2012;3;2144104;F;EQMORE25
2012;4;2147611;F;EQMORE25
2012;5;2148331;F;EQMORE25
2012;6;2123044;F;EQMORE25
2012;7;2114622;F;EQMORE25
2012;8;2129377;F;EQMORE25
2012;9;2160732;F;EQMORE25
2012;10;2210397;F;EQMORE25
2012;11;2261426;F;EQMORE25
2012;12;2225991;F;EQMORE25
2013;1;2289958;F;EQMORE25
2013;2;2311129;F;EQMORE25
2013;3;2304431;F;EQMORE25
2013;4;2298624;F;EQMORE25
2013;5;2268661;F;EQMORE25
2013;6;2233420;F;EQMORE25
2013;7;2215362;F;EQMORE25
2013;8;2215966;F;EQMORE25
2013;9;2227200;F;EQMORE25
2013;10;2262113;F;EQMORE25
2013;11;2263920;F;EQMORE25
2013;12;2210526;F;EQMORE25
2014;1;2272202;F;EQMORE25
2014;2;2274450;F;EQMORE25
2014;3;2270565;F;EQMORE25
2014;4;2224223;F;EQMORE25
2014;5;2189308;F;EQMORE25
2014;6;2150788;F;EQMORE25
2014;7;2140119;F;EQMORE25
2014;8;2143213;F;EQMORE25
2014;9;2153503;F;EQMORE25
